"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"2FM","http://www.2fm.nl/","Gilze-Rijen","Netherlands","Local service",128,"http://server.2fm.nl:2222/listen.pls",64,"http://server.2fm.nl:2244/listen.pls"
"3FM","http://www.three.fm/","Douglas","United Kingdom","Adult Contemporary",96,"http://stream.three.fm:8000/live.m3u",,
"3FM","http://www.3fm.nl/","Hilversum","Netherlands","Top 40",192,"http://livestreams.omroep.nl/npo/mp3/3fm-bb.pls",64,"http://livestreams.omroep.nl/npo/aac/3fm-bb.pls"
"3FM Alternative","http://www.3fm.nl/","Hilversum","Netherlands","Alternative music",128,"http://livestreams.omroep.nl/npo/mp3/3fm_alternative.pls",,
"3FM Live","http://www.3fm.nl/","Hilversum","Netherlands","Live music",128,"http://livestreams.omroep.nl/npo/mp3/3fm_live.pls",,
"3FM Serious Talent","http://www.3fm.nl/","Hilversum","Netherlands","New music",128,"http://livestreams.omroep.nl/npo/mp3/3fm_serioustalent.pls",,
"3TFM","http://www.3tfm.org/","Saltcoats","United Kingdom","Community radio",96,"http://ns1.heloo.net:8000/3TFM-Online.mp3.m3u",,
"48FM","http://www.48fm.com/","Liège","Belgium","Student Radio",128,"http://48fm.com/48fm-low.m3u",,
"4FM","http://www.4fm.ie/","Dublin","Ireland","Variety",64,"http://4fm64.media.vistatec.ie/listen.pls",128,"http://4fm128.media.vistatec.ie/listen.pls"
"538 Dance Department","http://www.radio538.nl/","Hilversum","Netherlands","Dance",128,"http://82.201.100.10:8000/RD01_538_Dancedepartment.m3u",,
"538 Hitzone","http://www.radio538.nl/","Hilversum","Netherlands","Top 40",128,"http://82.201.100.10:8000/WEB11.m3u",,
"538 Juize","http://www.radio538.nl/","Hilversum","Netherlands","RnB/HipHop",128,"http://82.201.100.9:8000/juizefm.m3u",,
"538 Non Stop 40","http://www.radio538.nl/","Hilversum","Netherlands","Top 40",128,"http://82.201.100.10:8000/RD02_NonStop40.m3u",,
"538 Party Radio","http://www.radio538.nl/","Hilversum","Netherlands","Party music",128,"http://82.201.100.10:8000/WEB16.m3u",,
"538L8","http://www.radio538.nl/","Hilversum","Netherlands","Comedy",128,"http://82.201.100.10:8000/WEB21.m3u",,
"7 Waves Community Radio","http://7waves.co.uk/","Wirral","United Kingdom","Community radio",128,"http://96.9.147.165:9520/listen.pls",,
"7.7 Radio","http://www.7radio.es/","Gran Canaria","Spain","Local service",64,"http://173.243.114.66:8020/listen.pls",,
"7.7 Radio","http://www.7radio.es/","Tenerife","Spain","Local service",64,"http://173.243.114.66:8022/listen.pls",,
"77 FM","http://www.77fm.net/","Meaux","France","Local service",128,"http://www.77fm.net/77FM.m3u",,
